Month,Sales,previous_month_sales,mom_growth_percentage
2023-10,21307522.2,,
2023-11,22040269.2,21307522.2,3.4389122917351695
2023-12,20624240.25,22040269.2,-6.424735275011974
2024-01,21477241.4,20624240.25,4.135915503602605
2024-02,19853396.5,21477241.4,-7.560770351074969
2024-03,21571015.35,19853396.5,8.65151134215247
2024-04,22214781.1,21571015.35,2.9844017055043257
2024-05,24744786.55,22214781.1,11.388838083126549
2024-06,21368962.5,24744786.55,-13.642566862230623
2024-07,24019283.9,21368962.5,12.402667654080064
2024-08,23299894.5,24019283.9,-2.9950493236811218
2024-09,22480182.05,23299894.5,-3.5180951141216505
2024-10,23607626.65,22480182.05,5.015282338427494
2024-11,22036247.55,23607626.65,-6.656234967185902
2024-12,24806786.4,22036247.55,12.572643521605373
2025-01,21520801.8,24806786.4,-13.246313113737287
2025-02,19902446.1,21520801.8,-7.519960060224147
2025-03,22602988.75,19902446.1,13.568898196890473
2025-04,21653817.9,22602988.75,-4.19931567678191
2025-05,26010928.65,21653817.9,20.12167447847615
2025-06,21155496.2,26010928.65,-18.66689388654334
2025-07,22526567.55,21155496.2,6.480922673891248
2025-08,23317916.2,22526567.55,3.512957081648236
2025-09,18131496.7,23317916.2,-22.24220833249242
2025-10,1391328.4,18131496.7,-92.32645587388271
